"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7825","A.23 POST Подтверждение сброса пароля. Когда пользователь переходит по ссылке     auth/password/reset/confirm/{uid}/{token}","tests.api_tests","Sun Apr 26 05:36:48 UTC 2026","passed","Sun Apr 26 05:36:56 UTC 2026","TestAPI","api_test","",""
"","53","F.2 Проверка отсутствия ссылки на Лицензионное соглашение со страницы 'https://pulsewave.ru/","tests.ui_tests","Sun Apr 26 05:39:40 UTC 2026","passed","Sun Apr 26 05:39:40 UTC 2026","TestFooter","footer_test","",""
"","3122","H.2 Проверка редиректа на главную страницу при клике на логотип","tests.ui_tests","Sun Apr 26 05:53:40 UTC 2026","passed","Sun Apr 26 05:53:44 UTC 2026","TestHeader","header_test","",""
"","58","F.4 Проверка года © PulseWave, 2026 в футере","tests.ui_tests","Sun Apr 26 05:42:09 UTC 2026","passed","Sun Apr 26 05:42:09 UTC 2026","TestFooter","footer_test","",""
"","870","S.6 Окно регистрации сообщение 'Слабый пароль. Пароль должен содержать минимум 8 символов, включая буквы и цифры'","tests.ui_tests","Sun Apr 26 05:57:47 UTC 2026","passed","Sun Apr 26 05:57:48 UTC 2026","TestSignupPage","signup_page_test","",""
"","171","W.10 Проверка цвета переключателя 'Непрочитанные'","tests.ui_tests","Sun Apr 26 06:00:08 UTC 2026","passed","Sun Apr 26 06:00:08 UTC 2026","TestWorkspacePage","workspace_page_test","",""
"","45","L.2 Проверка размера шрифта заголовка 'Войти'","tests.ui_tests","Sun Apr 26 05:55:28 UTC 2026","passed","Sun Apr 26 05:55:29 UTC 2026","TestLoginPage","login_page_test","",""
"","58","M.2 Проверка кликабельности логотипа на лендинге","tests.ui_tests","Sun Apr 26 05:55:15 UTC 2026","passed","Sun Apr 26 05:55:15 UTC 2026","TestLendingPage","lending_test","",""
"","704","A.26 POST Регистрация пользователя без электронной почты","tests.api_tests","Sun Apr 26 05:37:04 UTC 2026","passed","Sun Apr 26 05:37:05 UTC 2026","TestAPI","api_test","",""
"","712","A.30 POST Создать пользователя с некорректными данными","tests.api_tests","Sun Apr 26 05:37:11 UTC 2026","passed","Sun Apr 26 05:37:12 UTC 2026","TestAPI","api_test","",""
"","46","F.6 Проверка размера шрифта надписи '© PulseWave, 2023-2026' в футере","tests.ui_tests","Sun Apr 26 05:47:06 UTC 2026","passed","Sun Apr 26 05:47:06 UTC 2026","TestFooter","footer_test","",""
"","2331","S.10 Регистрация с корректным email и подтверждением пароля и пустым паролем","tests.ui_tests","Sun Apr 26 05:58:34 UTC 2026","passed","Sun Apr 26 05:58:36 UTC 2026","TestSignupPage","signup_page_test","",""
"","1325","W.9 Проверка возможности изменить цвет переключателя 'Непрочитанные'","tests.ui_tests","Sun Apr 26 06:00:00 UTC 2026","passed","Sun Apr 26 06:00:01 UTC 2026","TestWorkspacePage","workspace_page_test","",""
"","40","H.7 Проверка шрифта кнопки 'Войти' в хедере https://app.pulsewave.ru/auth/password?email=","tests.ui_tests","Sun Apr 26 05:54:34 UTC 2026","passed","Sun Apr 26 05:54:34 UTC 2026","TestHeader","header_test","",""
"","533","H.8 Проверка цвета шрифта кнопки 'Регистрация в хедере https://app.pulsewave.ru/auth/login'","tests.ui_tests","Sun Apr 26 05:54:51 UTC 2026","passed","Sun Apr 26 05:54:51 UTC 2026","TestHeader","header_test","",""
"","2114","A.25 DELETE Удалить авторизованного пользователя","tests.api_tests","Sun Apr 26 05:37:02 UTC 2026","passed","Sun Apr 26 05:37:04 UTC 2026","TestAPI","api_test","",""
