"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","S.15 Окно регистрации сообщение 'Регистрируясь, я соглашаюсь с Условиями пользования и Политикой конфиденциальности', проверка корректности перехода по ссылке 'Условиями пользования'","tests.ui_tests","Thu May 07 08:08:00 UTC 2026","skipped","Thu May 07 08:08:00 UTC 2026","TestSignupPage","signup_page_test","",""
"","57","R.2 Проверка цвета шрифта заголовка 'Восстановление пароля'","tests.ui_tests","Thu May 07 08:06:22 UTC 2026","passed","Thu May 07 08:06:22 UTC 2026","TestPasswordRecoveryPage","password_recovery_test","",""
"","1264","R.6 Восстановить пароль на некорректный емайл","tests.ui_tests","Thu May 07 08:06:48 UTC 2026","passed","Thu May 07 08:06:49 UTC 2026","TestPasswordRecoveryPage","password_recovery_test","",""
"","40","H.3 Проверка текста кнопки 'Войти'","tests.ui_tests","Thu May 07 08:04:20 UTC 2026","passed","Thu May 07 08:04:20 UTC 2026","TestHeader","header_test","",""
"","31","H.8 Проверка цвета кнопки 'Регистрация в хедере https://app.pulsewave.ru/auth/login'","tests.ui_tests","Thu May 07 08:05:19 UTC 2026","passed","Thu May 07 08:05:19 UTC 2026","TestHeader","header_test","",""
"","73","F.8 Проверка кликабельности значка LinkedIn на странице 'https://app.pulsewave.ru/auth/password?email=' в футере","tests.ui_tests","Thu May 07 08:02:47 UTC 2026","passed","Thu May 07 08:02:47 UTC 2026","TestFooter","footer_test","",""
"","560","F.6 Проверка размера шрифта надписи '© PulseWave, 2023-2026' в футере","tests.ui_tests","Thu May 07 07:57:58 UTC 2026","passed","Thu May 07 07:57:59 UTC 2026","TestFooter","footer_test","",""
"","549","F.6 Проверка шрифта надписи '© PulseWave, 2023-2026' в футере","tests.ui_tests","Thu May 07 08:00:21 UTC 2026","passed","Thu May 07 08:00:22 UTC 2026","TestFooter","footer_test","",""
"","8993","S.1 Регистрация с корректными email и паролем и с согласием на подписку","tests.ui_tests","Thu May 07 08:06:51 UTC 2026","passed","Thu May 07 08:07:00 UTC 2026","TestSignupPage","signup_page_test","",""
"","69","R.1 Проверка текста заголовка 'Восстановление пароля'","tests.ui_tests","Thu May 07 08:06:17 UTC 2026","passed","Thu May 07 08:06:17 UTC 2026","TestPasswordRecoveryPage","password_recovery_test","",""
"","1258","W.12 Проверка прочтения уведомлений","tests.ui_tests","Thu May 07 08:09:14 UTC 2026","passed","Thu May 07 08:09:16 UTC 2026","TestWorkspacePage","workspace_page_test","",""
"","2950","F.1 Проверка попапа о принятии файлов cookie на странице https://app.pulsewave.ru/auth/password?email=","tests.ui_tests","Thu May 07 07:49:40 UTC 2026","passed","Thu May 07 07:49:43 UTC 2026","TestFooter","footer_test","",""
"","3112","A.10 GET Информация о конкретном рабочем пространстве","tests.api_tests","Thu May 07 05:58:04 UTC 2026","passed","Thu May 07 05:58:07 UTC 2026","TestAPI","api_test","",""
"","857","S.2 Регистрация с корректным email и не совпадающими паролем и подтверждением пароля","tests.ui_tests","Thu May 07 08:07:03 UTC 2026","passed","Thu May 07 08:07:04 UTC 2026","TestSignupPage","signup_page_test","",""
"","872","S.16 Регистрация с корректным email и слабым паролем и подтверждением пароля","tests.ui_tests","Thu May 07 08:08:07 UTC 2026","passed","Thu May 07 08:08:08 UTC 2026","TestSignupPage","signup_page_test","",""
"","2651","A.3 POST Активация пользователя с корректными данными","tests.api_tests","Thu May 07 05:57:41 UTC 2026","passed","Thu May 07 05:57:43 UTC 2026","TestAPI","api_test","",""
"","37","H.7 Проверка размера шрифта кнопки 'Войти' в хедере https://app.pulsewave.ru/auth/password?email=","tests.ui_tests","Thu May 07 08:04:43 UTC 2026","passed","Thu May 07 08:04:44 UTC 2026","TestHeader","header_test","",""
"","44","F.6 Проверка цвета шрифта надписи '© PulseWave, 2023-2026' в футере","tests.ui_tests","Thu May 07 07:59:13 UTC 2026","passed","Thu May 07 07:59:13 UTC 2026","TestFooter","footer_test","",""
"","1616","A.19 GET Получить данные авторизованного пользователя me","tests.api_tests","Thu May 07 07:47:46 UTC 2026","passed","Thu May 07 07:47:48 UTC 2026","TestAPI","api_test","",""
"","2339","S.11 Регистрация с пустым email и сильным паролем и подтверждением пароля","tests.ui_tests","Thu May 07 08:07:54 UTC 2026","passed","Thu May 07 08:07:56 UTC 2026","TestSignupPage","signup_page_test","",""
"","1352","L.5 Авторизация с некорректным паролем","tests.ui_tests","Thu May 07 08:05:52 UTC 2026","passed","Thu May 07 08:05:53 UTC 2026","TestLoginPage","login_page_test","",""
"","521","F.7 Проверка значка LinkedIn на странице 'https://app.pulsewave.ru/auth/signup' в футере","tests.ui_tests","Thu May 07 08:01:32 UTC 2026","passed","Thu May 07 08:01:33 UTC 2026","TestFooter","footer_test","",""
"","1769","A.25 DELETE Удалить авторизованного пользователя","tests.api_tests","Thu May 07 07:48:12 UTC 2026","passed","Thu May 07 07:48:14 UTC 2026","TestAPI","api_test","",""
"","4281","A.5 POST Повторная отправка ссылки с приглашением пользователя","tests.api_tests","Thu May 07 05:57:53 UTC 2026","passed","Thu May 07 05:57:58 UTC 2026","TestAPI","api_test","",""
