"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","629","Проверка доступности https://api.dev.pulsewave.ru/api/healthcheck/","tests.api_tests","Thu Nov 27 03:44:52 UTC 2025","passed","Thu Nov 27 03:44:52 UTC 2025","TestAvailability","availability_test","",""
"","3330","R.4 Проверить сообщение об отправке ссылки восстановления пароля на емайл","tests.ui_tests","Thu Nov 27 04:02:43 UTC 2025","passed","Thu Nov 27 04:02:46 UTC 2025","TestPasswordRecoveryPage","password_recovery_test","",""
"","1084","H.5 Проверка перехода на страницу 'https://app.pulsewave.ru/auth/login' по кнопке 'Войти'","tests.ui_tests","Thu Nov 27 04:00:41 UTC 2025","passed","Thu Nov 27 04:00:42 UTC 2025","TestHeader","header_test","",""
"","810","A.28 POST Регистрация пользователя без подтверждения подписки","tests.api_tests","Thu Nov 27 03:44:43 UTC 2025","passed","Thu Nov 27 03:44:44 UTC 2025","TestAPI","api_test","",""
"","33","H.8 Проверка шрифта кнопки 'Регистрация в хедере https://app.pulsewave.ru/auth/password?email='","tests.ui_tests","Thu Nov 27 04:01:29 UTC 2025","passed","Thu Nov 27 04:01:29 UTC 2025","TestHeader","header_test","",""
"","51","F.6 Проверка цвета шрифта надписи '© PulseWave, 2023-2025' в футере","tests.ui_tests","Thu Nov 27 03:55:28 UTC 2025","passed","Thu Nov 27 03:55:28 UTC 2025","TestFooter","footer_test","",""
"","6002","A.21 POST Подтверждение смены почты пользователя. Токен из ссылки auth/change_email/{token}.","tests.api_tests","Thu Nov 27 03:44:16 UTC 2025","passed","Thu Nov 27 03:44:22 UTC 2025","TestAPI","api_test","",""
"","66","F.8 Проверка кликабельности значка LinkedIn на странице 'https://app.pulsewave.ru/auth/password?email=' в футере","tests.ui_tests","Thu Nov 27 03:59:06 UTC 2025","passed","Thu Nov 27 03:59:06 UTC 2025","TestFooter","footer_test","",""
"","776","A.30 POST Создать пользователя с некорректными данными","tests.api_tests","Thu Nov 27 03:44:49 UTC 2025","passed","Thu Nov 27 03:44:50 UTC 2025","TestAPI","api_test","",""
"","605","L.3 Проверка редиректа на страницу восстановления пароля при клике на ссылку 'Забыли пароль?'","tests.ui_tests","Thu Nov 27 04:01:56 UTC 2025","passed","Thu Nov 27 04:01:56 UTC 2025","TestLoginPage","login_page_test","",""
