"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","Тестирование Футера","0","","50","0","","0"
"0","Тестирование API","0","","32","0","","0"
"1","Тестирование страницы 'Регистрация'","0","","17","3","","0"
"1","Тестирование Хедера","0","","26","0","","0"
"0","Тестирование страницы 'Восстановление пароля'","0","","8","0","","0"
"1","Тестирование страницы лендинга","0","","3","0","","0"
"1","Тестирование страницы 'Войти'","1","","10","0","","0"
"0","Тестирование Доступности приложения","0","","3","0","","0"
"0","Тестирование страницы 'Рабочие пространства'","0","","13","0","","0"
